DP05_0024PE,DP05_0018E,DP03_0066PE,DP02_0061PE,DP03_0009PE,DP03_0033PE,DP03_0028PE,DP05_0070PE,DP04_0076E,DP05_0003PE,DP03_0010PE,DP03_0099PE,DP04_0047PE,DP04_0134E,DP04_0014PE,DP04_0003PE,DP03_0119PE,DP03_0061PE,DP03_0088E,DP02_0115PE,DP04_0058PE,DP05_0044PE,DP05_0038PE,DP05_0039PE,DP03_0062E,state,county,tract
29.6,53.8,44.2,6.6,9.7,4.5,25.2,1.5,1636,51.4,1546,10.3,16.6,967,34.3,19.4,15.2,6.1,38791,5.4,1.3,0.0,1.4,0.0,53817,48,019,000103
28.4,58.4,39.6,6.5,17.6,0.0,5.8,0.1,579,51.1,729,7.4,10.5,-666666666,24.4,13.2,5.7,16.2,42969,1.2,1.9,0.0,0.1,0.0,78809,48,019,000104
46.4,61.4,70.0,4.0,4.6,15.8,32.0,5.3,1089,48.7,1087,13.7,23.3,941,26.8,38.4,10.1,9.0,37200,2.4,4.5,0.0,4.9,0.0,69705,48,019,000200
23.6,47.7,44.6,8.3,3.1,3.1,15.3,1.8,1313,52.7,1635,15.6,17.7,-666666666,51.4,25.7,7.3,3.4,31357,6.7,1.0,0.0,0.7,2.5,71012,48,019,000301
24.9,52.9,37.6,2.4,0.5,3.9,14.7,1.9,1349,53.5,1672,7.1,3.9,1083,26.3,5.9,5.4,9.3,56105,8.6,0.0,0.0,0.2,0.0,73723,48,019,000302
26.7,50.1,51.0,7.0,14.7,2.0,12.3,0.8,1008,44.6,845,16.0,17.1,876,14.9,36.8,9.1,5.4,38416,1.9,2.9,0.0,0.8,1.2,83864,48,019,000400
14.4,42.1,30.1,7.6,1.3,2.6,17.8,1.8,2110,55.2,2447,20.7,16.1,1218,48.4,3.7,6.6,9.1,37621,17.3,3.3,0.0,1.6,0.3,99342,48,021,950101
18.5,41.3,31.2,7.9,4.8,4.0,18.2,3.1,1827,49.0,1985,23.7,7.4,1196,41.2,18.6,10.6,6.3,33567,23.3,3.4,0.0,2.5,0.8,72528,48,021,950102
22.1,51.1,34.8,8.4,3.4,0.0,12.1,23.1,1625,55.6,1963,10.0,39.0,1259,10.4,1.0,20.3,6.9,40701,11.9,5.2,0.0,19.1,0.1,80963,48,021,950201
14.1,36.6,22.8,5.9,7.5,0.6,12.5,19.1,2465,51.0,2607,20.7,32.7,1265,0.0,2.8,1.8,14.0,40860,15.6,4.6,0.0,15.2,4.5,83871,48,021,950202
22.2,43.6,46.4,6.4,8.4,0.0,15.6,1.3,1908,46.2,2308,10.5,12.5,1037,16.8,6.9,11.2,11.4,41871,11.2,4.2,0.0,0.8,0.3,113881,48,021,950301
9.6,33.4,18.6,9.2,1.2,0.0,11.8,5.1,2122,49.0,1908,21.3,40.5,1324,11.4,7.3,12.8,12.8,43365,5.0,0.0,0.0,5.1,0.5,90962,48,021,950302
12.3,30.5,26.7,10.2,6.9,3.5,24.5,6.2,2711,50.4,3151,29.4,25.9,1499,26.6,0.6,1.2,2.4,27552,12.2,0.0,0.0,1.7,0.8,87135,48,021,950303
15.1,42.6,24.7,3.0,7.9,0.0,15.3,7.2,2201,58.5,2567,11.8,58.8,1320,6.6,12.2,0.0,9.8,45142,2.4,6.5,0.0,7.2,1.1,65863,48,021,950401
18.9,41.0,27.0,1.5,6.7,0.0,7.3,0.3,1058,41.4,944,14.3,14.7,1544,0.0,2.4,6.6,14.5,46254,0.0,8.9,0.0,0.3,0.0,99966,48,021,950402
10.0,37.9,28.1,16.9,8.1,0.0,14.5,11.2,1488,50.5,1745,11.7,26.9,1714,3.0,2.6,7.6,9.7,34656,3.1,2.0,0.0,6.6,1.4,91604,48,021,950403
22.4,46.5,36.1,3.3,2.9,0.0,9.7,0.9,1630,45.0,1530,4.9,5.4,1324,16.0,11.8,7.1,8.2,40559,5.0,1.5,0.0,0.9,0.0,77034,48,021,950503
16.7,47.6,39.2,2.4,1.3,1.8,23.6,0.6,1481,48.8,1655,14.2,17.5,-666666666,25.7,6.0,7.7,9.5,41177,8.5,2.7,0.0,0.0,0.5,97303,48,021,950504
14.2,26.5,39.7,3.7,4.4,4.1,11.4,13.4,1532,50.2,1864,28.3,25.1,1077,36.2,10.8,9.3,6.2,27977,16.4,5.7,0.0,10.6,4.2,64206,48,021,950505
10.7,33.9,32.2,12.1,2.3,0.0,23.3,8.6,1222,38.6,1424,36.5,14.4,1591,49.9,11.9,9.0,0.0,19425,6.8,6.5,0.0,8.3,1.4,69698,48,021,950506
22.8,45.6,39.1,1.2,4.2,8.7,11.6,0.5,1422,46.6,1487,19.5,18.7,1252,32.9,20.4,14.1,9.7,35864,9.1,2.7,0.0,0.5,0.0,71552,48,021,950601
10.7,35.3,17.2,3.2,4.4,3.7,15.2,24.7,893,45.4,750,23.1,15.1,1371,22.4,16.8,0.1,9.9,40266,1.1,3.0,0.0,20.3,0.5,77469,48,021,950602
22.5,44.1,42.2,4.7,4.6,0.0,15.6,11.5,1822,50.7,1904,18.7,38.9,880,6.0,11.5,11.0,6.4,35464,5.4,8.6,0.0,8.5,0.5,56375,48,021,950700
16.9,34.9,48.2,20.2,5.8,0.0,35.9,2.2,676,47.0,754,39.6,20.7,1712,53.2,2.9,16.9,0.7,21784,30.2,0.0,0.0,2.2,0.2,84698,48,021,950803
15.8,32.5,38.6,13.7,2.3,4.3,14.9,12.1,1827,50.2,2072,24.7,24.4,2044,52.5,9.4,24.3,2.7,22953,18.2,1.6,0.3,12.1,0.5,69830,48,021,950804
4.9,33.5,21.7,19.8,3.2,4.3,18.6,0.3,1900,49.6,2130,33.5,12.3,1159,48.9,6.8,22.7,10.2,28275,27.5,0.0,0.0,0.1,4.8,80385,48,021,950805
17.7,39.9,22.3,9.9,4.7,17.1,18.3,0.0,1244,45.7,1213,6.6,11.0,1142,26.9,2.5,2.8,15.6,32232,10.3,0.0,0.0,0.0,0.7,52978,48,021,950806
26.0,53.1,37.5,12.8,7.2,24.8,2.2,3.7,566,53.6,536,17.4,36.7,655,11.8,32.3,20.1,9.4,31838,2.1,8.1,0.0,1.6,0.2,31786,48,023,950301
26.7,46.5,40.3,8.5,1.8,12.8,21.9,3.3,982,47.8,873,23.7,31.2,825,4.3,26.4,11.4,2.1,26792,0.8,6.0,0.0,0.3,0.2,49028,48,023,950302
24.3,43.3,57.1,6.2,4.3,13.6,12.0,1.3,578,48.7,654,6.4,21.5,943,25.2,28.7,2.0,5.2,26902,2.8,10.0,0.0,0.5,1.1,65526,48,025,950100
5.1,38.6,50.1,20.8,2.5,7.2,12.9,22.9,379,5.9,437,15.0,14.8,-666666666,12.1,18.3,11.7,4.7,9680,9.6,0.0,0.0,17.7,0.7,87422,48,025,950201
12.7,36.2,21.4,3.6,4.2,14.3,16.6,0.0,650,51.7,787,17.5,16.8,1654,44.3,29.6,4.6,12.9,32226,2.3,13.4,0.0,0.0,0.0,55278,48,025,950203
16.2,39.3,32.6,8.7,4.1,14.2,19.2,1.7,1256,38.8,1198,22.6,12.2,-666666666,22.2,12.4,16.3,9.3,37673,4.6,4.7,0.0,1.6,0.0,77137,48,025,950204
10.7,26.9,25.0,6.8,13.4,7.0,24.0,3.1,1967,48.0,2082,15.2,31.8,691,16.5,12.0,15.2,1.7,25757,5.7,5.9,0.0,2.9,0.0,66218,48,025,950300
13.7,29.3,33.5,7.3,1.0,3.2,29.2,2.1,659,54.8,728,12.4,35.5,900,1.3,26.2,15.8,2.6,22445,7.5,10.3,2.2,1.3,2.8,43973,48,025,950400
14.8,32.9,33.3,6.3,2.4,5.4,19.8,7.1,1002,45.7,993,24.3,35.5,1038,3.4,23.5,16.0,4.9,28146,9.7,2.4,0.0,4.1,0.3,72750,48,025,950501
16.8,34.6,36.8,4.9,4.8,4.1,32.5,4.1,1197,56.6,1173,13.3,43.9,1091,2.1,17.9,29.4,0.0,20163,6.8,6.1,0.0,2.4,2.8,40767,48,025,950502
